instance,time,score,relative
50_20_05,0,667052,2.03503
50_20_05,37,667247,2.06486
50_20_05,0,696356,6.5175
50_20_05,0,761156,16.4296
50_20_05,17,672827,2.9184
50_20_05,0,686944,5.0778
50_20_05,0,667052,2.03503
50_20_05,0,667052,2.03503
50_20_05,1,687521,5.16606
50_20_05,0,692174,5.8778
50_20_05,0,692060,5.86036
50_20_05,2,679996,4.015
50_20_05,0,774985,18.5449
50_20_05,0,667052,2.03503
50_20_05,0,696770,6.58082
50_20_05,1,738660,12.9885
50_20_05,0,667052,2.03503
50_20_05,0,760939,16.3964
50_20_05,0,704493,7.76217
