instance,time,score,relative
50_20_04,0,690895,3.64135
50_20_04,0,712875,6.93858
50_20_04,0,752598,12.8974
50_20_04,0,696722,4.51546
50_20_04,0,682262,2.34631
50_20_04,0,682262,2.34631
50_20_04,0,682262,2.34631
50_20_04,0,682262,2.34631
50_20_04,0,682262,2.34631
50_20_04,0,740821,11.1308
50_20_04,0,682262,2.34631
50_20_04,0,682262,2.34631
50_20_04,0,682262,2.34631
50_20_04,0,682262,2.34631
50_20_04,0,685073,2.76799
50_20_04,0,716399,7.46721
50_20_04,0,682262,2.34631
50_20_04,0,727324,9.10607
50_20_04,0,698880,4.83918
