instance,time,score,relative
50_20_03,0,621038,4.77322
50_20_03,0,612451,3.32453
50_20_03,10,612600,3.34967
50_20_03,0,612451,3.32453
50_20_03,0,613887,3.5668
50_20_03,0,638946,7.79441
50_20_03,0,646244,9.02563
50_20_03,24,604629,2.00491
50_20_03,0,641256,8.18413
50_20_03,0,617760,4.2202
50_20_03,0,620377,4.6617
50_20_03,0,653482,10.2467
50_20_03,0,637576,7.56329
50_20_03,0,630096,6.30136
50_20_03,0,612451,3.32453
50_20_03,0,643782,8.61028
50_20_03,1,635017,7.13157
50_20_03,0,615297,3.80467
50_20_03,0,629573,6.21313
