50.20.01,1.8138286,1.4381616
50.20.02,1.838892,2.094154
50.20.03,0.9842338,1.625252
50.20.04,2.101972,1.757248
50.20.05,1.619432,2.191302
50.20.06,1.3938582,1.555744
50.20.07,2.22486,2.051524
50.20.08,1.290293,1.661764
50.20.09,2.59984,1.804236
50.20.10,1.70547,1.55157
50.20.11,1.424557,1.895142
50.20.12,0.835914,1.694148
50.20.13,1.431446,1.593856
50.20.14,1.507766,2.155602
50.20.15,1.361006,2.076432
50.20.16,1.4347582,1.557716
50.20.17,1.468944,2.012128
50.20.18,1.337858,1.855324
50.20.19,1.59662,1.57557
50.20.20,1.637818,1.6044886
50.20.21,1.0886464,1.4267884
50.20.22,1.8925234,2.06409
50.20.23,1.944314,2.010236
50.20.24,1.3161618,1.385322
50.20.25,1.2176702,1.75861
50.20.26,1.5669948,1.792682
50.20.27,1.254841,1.491692
50.20.28,1.2526892,1.621036
50.20.29,1.387386,1.3600526
50.20.30,0.7311716,1.2804144
